"Player","Team","VAR","ADP","Pos","Site Pos","GS","W","L","T/O","SO","SV","SV%","GA","GAA","SA"
"Joel Hofer","Blues","-87.8"," - ","G"," - ","26","14.7","9.1","2.2","0.9","693.3","0.907","71.1","2.73","764.4"
"Scott Wedgewood","Avalanche","-89.9"," - ","G"," - ","26","15.2","8.3","2.5","1.3","654.4","0.906","67.9","2.61","722.3"
"Jake Allen","Devils","-91.1"," - ","G"," - ","33","16.9","13.2","1.8","2.2","819.5","0.899","92.1","2.79","911.6"
"Daniil Tarasov","Panthers","-91.4"," - ","G"," - ","28","15.7","9.1","3.2","0.5","695.1","0.905","73","2.61","768.1"
"Casey DeSmith","Stars","-96.3"," - ","G"," - ","24","12","9","3","1.2","628.3","0.91","62.1","2.59","690.5"
"Anton Forsberg","Kings","-96.3"," - ","G"," - ","27","14","10.4","2.7","2.6","646.1","0.904","68.6","2.54","714.7"
"Arturs Silovs","Penguins","-97.7"," - ","G"," - ","37","14.4","17.8","4.9","1.5","1008","0.899","113.3","3.06","1121.3"
"Jesper Wallstedt","Wild","-99.4"," - ","G"," - ","30","14.2","13.1","2.7","1.1","798.6","0.902","86.8","2.89","885.3"
"Alex Nedeljkovic","Sharks","-113.3"," - ","G"," - ","38","12.9","19.2","5.9","1","1110.4","0.897","127.5","3.36","1237.9"
"Petr Mrazek","Ducks","-120.4"," - ","G"," - ","32","12.1","17.1","2.7","0.7","954.4","0.898","108.4","3.39","1062.9"
"Elvis Merzlikins","Blue Jackets","-120.8"," - ","G"," - ","40","17.1","17.8","5","0.8","1141","0.892","138.2","3.45","1279.2"
"Jonathan Quick","Rangers","-130"," - ","G"," - ","24","12.7","7.9","3.5","2.4","632.2","0.896","73.4","3.06","705.6"
"Dan Vladar","Flyers","-130.2"," - ","G"," - ","35","14.6","14.6","5.8","1.4","858.7","0.893","102.9","2.94","961.6"
"Jakub Dobes","Canadiens","-131.4"," - ","G"," - ","25","10.6","9.1","5.3","1.7","692.6","0.899","77.8","3.11","770.4"
"Joonas Korpisalo","Bruins","-141.1"," - ","G"," - ","27","11.2","12.3","3.4","1.3","703.1","0.896","81.8","3.03","784.8"
"Eric Comrie","Jets","-143.8"," - ","G"," - ","20","7.2","11.9","0.9","1.4","512.7","0.905","53.8","2.69","566.5"
"Vitek Vanecek","Utah","-144.4"," - ","G"," - ","27","12.7","10.3","3.9","1","721.4","0.893","86.4","3.2","807.9"
"David Rittich","Islanders","-146.9"," - ","G"," - ","22","10","10","2","0.8","594.3","0.898","67.5","3.07","661.8"
"Jonas Johansson","Lightning","-156"," - ","G"," - ","20","10.4","6","3.6","1.3","518.2","0.894","61.4","3.07","579.7"
"Justus Annunen","Predators","-161.1"," - ","G"," - ","20","8.6","10.5","1","1.5","533.6","0.895","62.6","3.13","596.2"
"Devin Cooley","Flames","-164.1"," - ","G"," - ","26","8.1","13.8","4.1","0.6","663.3","0.895","77.8","2.99","741.1"
"Philipp Grubauer","Kraken","-169.6"," - ","G"," - ","27","10.3","15.2","1.5","0.6","677.4","0.89","83.7","3.1","761.2"
"Arvid Soderblom","Blackhawks","-177.8"," - ","G"," - ","29","8.3","14.9","5.8","0","822.3","0.891","100.6","3.47","922.8"
